popsize,popid,Sin,c
6.03768e+07,N1,57,1e-05
100.01,N0,58,1e-05
6.19768e+07,N1,58,1e-05
100.01,N0,59,1e-05
6.35768e+07,N1,59,1e-05
100.009,N0,60,1e-05
6.51768e+07,N1,60,1e-05
100.009,N0,61,1e-05
6.67768e+07,N1,61,1e-05
100.009,N0,62,1e-05
6.83768e+07,N1,62,1e-05
100.009,N0,63,1e-05
6.99768e+07,N1,63,1e-05
100.009,N0,64,1e-05
7.15768e+07,N1,64,1e-05
100.008,N0,65,1e-05
7.31768e+07,N1,65,1e-05
100.008,N0,66,1e-05
7.47768e+07,N1,66,1e-05
100.008,N0,67,1e-05
7.63768e+07,N1,67,1e-05
100.008,N0,68,1e-05
7.79768e+07,N1,68,1e-05
100.008,N0,69,1e-05
7.95768e+07,N1,69,1e-05
100.008,N0,70,1e-05
8.11768e+07,N1,70,1e-05
100.007,N0,71,1e-05
8.27768e+07,N1,71,1e-05
100.007,N0,72,1e-05
8.43768e+07,N1,72,1e-05
100.007,N0,73,1e-05
8.59768e+07,N1,73,1e-05
100.007,N0,74,1e-05
8.75768e+07,N1,74,1e-05
100.007,N0,75,1e-05
8.91768e+07,N1,75,1e-05
100.007,N0,76,1e-05
9.07768e+07,N1,76,1e-05
100.007,N0,77,1e-05
9.23768e+07,N1,77,1e-05
100.007,N0,78,1e-05
9.39768e+07,N1,78,1e-05
100.006,N0,79,1e-05
9.55768e+07,N1,79,1e-05
100.006,N0,80,1e-05
9.71768e+07,N1,80,1e-05
100.006,N0,81,1e-05
9.87768e+07,N1,81,1e-05
100.006,N0,82,1e-05
1.00377e+08,N1,82,1e-05
100.006,N0,83,1e-05
1.01977e+08,N1,83,1e-05
100.006,N0,84,1e-05
1.03577e+08,N1,84,1e-05
100.006,N0,85,1e-05
1.05177e+08,N1,85,1e-05
100.006,N0,86,1e-05
1.06777e+08,N1,86,1e-05
100.006,N0,87,1e-05
1.08377e+08,N1,87,1e-05
100.006,N0,88,1e-05
1.09977e+08,N1,88,1e-05
100.005,N0,89,1e-05
1.11577e+08,N1,89,1e-05
100.005,N0,90,1e-05
1.13177e+08,N1,90,1e-05
100.005,N0,91,1e-05
1.14777e+08,N1,91,1e-05
100.005,N0,92,1e-05
1.16377e+08,N1,92,1e-05
100.005,N0,93,1e-05
1.17977e+08,N1,93,1e-05
100.005,N0,94,1e-05
1.19577e+08,N1,94,1e-05
100.005,N0,95,1e-05
1.21177e+08,N1,95,1e-05
100.005,N0,96,1e-05
1.22777e+08,N1,96,1e-05
100.005,N0,97,1e-05
1.24377e+08,N1,97,1e-05
100.005,N0,98,1e-05
1.25977e+08,N1,98,1e-05
100.005,N0,99,1e-05
1.27577e+08,N1,99,1e-05
100.005,N0,100,1e-05
1.29177e+08,N1,100,1e-05
100.005,N0,101,1e-05
1.30777e+08,N1,101,1e-05
100.005,N0,102,1e-05
1.32377e+08,N1,102,1e-05
100.005,N0,103,1e-05
1.33977e+08,N1,103,1e-05
100.005,N0,104,1e-05
1.35577e+08,N1,104,1e-05
100.004,N0,105,1e-05
1.37177e+08,N1,105,1e-05
100.004,N0,106,1e-05
1.38777e+08,N1,106,1e-05
100.004,N0,107,1e-05
1.40377e+08,N1,107,1e-05
100.004,N0,108,1e-05
1.41977e+08,N1,108,1e-05
100.004,N0,109,1e-05
1.43577e+08,N1,109,1e-05
100.004,N0,110,1e-05
1.45177e+08,N1,110,1e-05
100.004,N0,111,1e-05
1.46777e+08,N1,111,1e-05
100.004,N0,112,1e-05
1.48377e+08,N1,112,1e-05
100.004,N0,113,1e-05
1.49977e+08,N1,113,1e-05
100.004,N0,114,1e-05
1.51577e+08,N1,114,1e-05
100.004,N0,115,1e-05
1.53177e+08,N1,115,1e-05
100.004,N0,116,1e-05
1.54777e+08,N1,116,1e-05
100.004,N0,117,1e-05
1.56377e+08,N1,117,1e-05
100.004,N0,118,1e-05
1.57977e+08,N1,118,1e-05
100.004,N0,119,1e-05
1.59577e+08,N1,119,1e-05
100.004,N0,120,1e-05
1.61177e+08,N1,120,1e-05
100.004,N0,121,1e-05
1.62777e+08,N1,121,1e-05
100.004,N0,122,1e-05
1.64377e+08,N1,122,1e-05
100.004,N0,123,1e-05
1.65977e+08,N1,123,1e-05
100.004,N0,124,1e-05
1.67577e+08,N1,124,1e-05
100.004,N0,125,1e-05
1.69177e+08,N1,125,1e-05
100.004,N0,126,1e-05
1.70777e+08,N1,126,1e-05
100.004,N0,127,1e-05
1.72377e+08,N1,127,1e-05
100.004,N0,128,1e-05
1.73977e+08,N1,128,1e-05
100.003,N0,129,1e-05
1.75577e+08,N1,129,1e-05
100.003,N0,130,1e-05
1.77177e+08,N1,130,1e-05
100.003,N0,131,1e-05
1.78777e+08,N1,131,1e-05
100.003,N0,132,1e-05
1.80377e+08,N1,132,1e-05
100.003,N0,133,1e-05
1.81977e+08,N1,133,1e-05
100.003,N0,134,1e-05
1.83577e+08,N1,134,1e-05
100.003,N0,135,1e-05
1.85177e+08,N1,135,1e-05
100.003,N0,136,1e-05
1.86777e+08,N1,136,1e-05
100.003,N0,137,1e-05
1.88377e+08,N1,137,1e-05
100.003,N0,138,1e-05
1.89977e+08,N1,138,1e-05
100.003,N0,139,1e-05
1.91577e+08,N1,139,1e-05
100.003,N0,140,1e-05
1.93177e+08,N1,140,1e-05
100.003,N0,141,1e-05
1.94777e+08,N1,141,1e-05
100.003,N0,142,1e-05
1.96377e+08,N1,142,1e-05
100.003,N0,143,1e-05
1.97977e+08,N1,143,1e-05
100.003,N0,144,1e-05
1.99577e+08,N1,144,1e-05
100.003,N0,145,1e-05
2.01177e+08,N1,145,1e-05
100.003,N0,146,1e-05
2.02777e+08,N1,146,1e-05
100.003,N0,147,1e-05
2.04377e+08,N1,147,1e-05
100.003,N0,148,1e-05
2.05977e+08,N1,148,1e-05
100.003,N0,149,1e-05
2.07577e+08,N1,149,1e-05
100.003,N0,150,1e-05
2.09177e+08,N1,150,1e-05
4.34794e-05,N0,10,3.16228e-06
2.01064e-15,N1,10,3.16228e-06
0.00014778,N0,11,3.16228e-06
1.2046e-28,N1,11,3.16228e-06
33.8363,N0,12,3.16228e-06
1.03857e-23,N1,12,3.16228e-06
832.932,N0,13,3.16228e-06
635.594,N1,13,3.16228e-06
4895.06,N0,14,3.16228e-06
862.938,N1,14,3.16228e-06
2304.79,N0,15,3.16228e-06
10015.7,N1,15,3.16228e-06
4778.62,N0,16,3.16228e-06
8189.98,N1,16,3.16228e-06
2791.94,N0,17,3.16228e-06
16257,N1,17,3.16228e-06
2262.29,N0,18,3.16228e-06
18745.2,N1,18,3.16228e-06
428.29,N0,19,3.16228e-06
71285.6,N1,19,3.16228e-06
322.664,N0,20,3.16228e-06
979572,N1,20,3.16228e-06
318.47,N0,21,3.16228e-06
2.74884e+06,N1,21,3.16228e-06
317.63,N0,22,3.16228e-06
4.37662e+06,N1,22,3.16228e-06
317.253,N0,23,3.16228e-06
5.97758e+06,N1,23,3.16228e-06
317.036,N0,24,3.16228e-06
7.5774e+06,N1,24,3.16228e-06
316.895,N0,25,3.16228e-06
9.17725e+06,N1,25,3.16228e-06
316.796,N0,26,3.16228e-06
1.07772e+07,N1,26,3.16228e-06
316.722,N0,27,3.16228e-06
1.23771e+07,N1,27,3.16228e-06
316.666,N0,28,3.16228e-06
1.3977e+07,N1,28,3.16228e-06
316.621,N0,29,3.16228e-06
1.5577e+07,N1,29,3.16228e-06
316.584,N0,30,3.16228e-06
1.71769e+07,N1,30,3.16228e-06
316.554,N0,31,3.16228e-06
1.87769e+07,N1,31,3.16228e-06
316.528,N0,32,3.16228e-06
2.03769e+07,N1,32,3.16228e-06
316.506,N0,33,3.16228e-06
2.19769e+07,N1,33,3.16228e-06
316.487,N0,34,3.16228e-06
2.35768e+07,N1,34,3.16228e-06
316.471,N0,35,3.16228e-06
2.51768e+07,N1,35,3.16228e-06
316.456,N0,36,3.16228e-06
2.67768e+07,N1,36,3.16228e-06
316.443,N0,37,3.16228e-06
2.83768e+07,N1,37,3.16228e-06
316.432,N0,38,3.16228e-06
2.99768e+07,N1,38,3.16228e-06
316.421,N0,39,3.16228e-06
3.15768e+07,N1,39,3.16228e-06
316.412,N0,40,3.16228e-06
3.31768e+07,N1,40,3.16228e-06
316.404,N0,41,3.16228e-06
3.47767e+07,N1,41,3.16228e-06
316.396,N0,42,3.16228e-06
3.63767e+07,N1,42,3.16228e-06
316.389,N0,43,3.16228e-06
3.79767e+07,N1,43,3.16228e-06
316.382,N0,44,3.16228e-06
3.95767e+07,N1,44,3.16228e-06
316.376,N0,45,3.16228e-06
4.11767e+07,N1,45,3.16228e-06
316.371,N0,46,3.16228e-06
4.27767e+07,N1,46,3.16228e-06
316.366,N0,47,3.16228e-06
4.43767e+07,N1,47,3.16228e-06
316.361,N0,48,3.16228e-06
4.59767e+07,N1,48,3.16228e-06
316.356,N0,49,3.16228e-06
4.75767e+07,N1,49,3.16228e-06
316.352,N0,50,3.16228e-06
4.91767e+07,N1,50,3.16228e-06
316.348,N0,51,3.16228e-06
5.07767e+07,N1,51,3.16228e-06
316.344,N0,52,3.16228e-06
5.23767e+07,N1,52,3.16228e-06
316.341,N0,53,3.16228e-06
5.39767e+07,N1,53,3.16228e-06
316.338,N0,54,3.16228e-06
5.55767e+07,N1,54,3.16228e-06
316.335,N0,55,3.16228e-06
5.71767e+07,N1,55,3.16228e-06
316.332,N0,56,3.16228e-06
5.87767e+07,N1,56,3.16228e-06
316.329,N0,57,3.16228e-06
6.03767e+07,N1,57,3.16228e-06
316.326,N0,58,3.16228e-06
6.19767e+07,N1,58,3.16228e-06
316.324,N0,59,3.16228e-06
6.35767e+07,N1,59,3.16228e-06
316.322,N0,60,3.16228e-06
6.51767e+07,N1,60,3.16228e-06
316.319,N0,61,3.16228e-06
6.67767e+07,N1,61,3.16228e-06
316.317,N0,62,3.16228e-06
6.83767e+07,N1,62,3.16228e-06
316.315,N0,63,3.16228e-06
6.99767e+07,N1,63,3.16228e-06
316.313,N0,64,3.16228e-06
7.15767e+07,N1,64,3.16228e-06
316.311,N0,65,3.16228e-06
7.31767e+07,N1,65,3.16228e-06
316.31,N0,66,3.16228e-06
7.47767e+07,N1,66,3.16228e-06
316.308,N0,67,3.16228e-06
7.63766e+07,N1,67,3.16228e-06
316.306,N0,68,3.16228e-06
7.79766e+07,N1,68,3.16228e-06
316.305,N0,69,3.16228e-06
7.95766e+07,N1,69,3.16228e-06
316.303,N0,70,3.16228e-06
8.11766e+07,N1,70,3.16228e-06
316.302,N0,71,3.16228e-06
8.27766e+07,N1,71,3.16228e-06
316.3,N0,72,3.16228e-06
8.43766e+07,N1,72,3.16228e-06
316.299,N0,73,3.16228e-06
8.59766e+07,N1,73,3.16228e-06
316.298,N0,74,3.16228e-06
8.75766e+07,N1,74,3.16228e-06
316.296,N0,75,3.16228e-06
8.91766e+07,N1,75,3.16228e-06
316.295,N0,76,3.16228e-06
9.07766e+07,N1,76,3.16228e-06
316.294,N0,77,3.16228e-06
9.23766e+07,N1,77,3.16228e-06
316.293,N0,78,3.16228e-06
9.39766e+07,N1,78,3.16228e-06
316.292,N0,79,3.16228e-06
9.55766e+07,N1,79,3.16228e-06
316.291,N0,80,3.16228e-06
9.71766e+07,N1,80,3.16228e-06
316.29,N0,81,3.16228e-06
9.87766e+07,N1,81,3.16228e-06
316.289,N0,82,3.16228e-06
1.00377e+08,N1,82,3.16228e-06
316.288,N0,83,3.16228e-06
1.01977e+08,N1,83,3.16228e-06
316.287,N0,84,3.16228e-06
1.03577e+08,N1,84,3.16228e-06
316.286,N0,85,3.16228e-06
1.05177e+08,N1,85,3.16228e-06
316.285,N0,86,3.16228e-06
1.06777e+08,N1,86,3.16228e-06
316.284,N0,87,3.16228e-06
1.08377e+08,N1,87,3.16228e-06
316.283,N0,88,3.16228e-06
1.09977e+08,N1,88,3.16228e-06
316.283,N0,89,3.16228e-06
1.11577e+08,N1,89,3.16228e-06
316.282,N0,90,3.16228e-06
1.13177e+08,N1,90,3.16228e-06
316.281,N0,91,3.16228e-06
1.14777e+08,N1,91,3.16228e-06
316.28,N0,92,3.16228e-06
1.16377e+08,N1,92,3.16228e-06
316.28,N0,93,3.16228e-06
1.17977e+08,N1,93,3.16228e-06
316.279,N0,94,3.16228e-06
1.19577e+08,N1,94,3.16228e-06
316.278,N0,95,3.16228e-06
1.21177e+08,N1,95,3.16228e-06
316.278,N0,96,3.16228e-06
1.22777e+08,N1,96,3.16228e-06
316.277,N0,97,3.16228e-06
1.24377e+08,N1,97,3.16228e-06
316.276,N0,98,3.16228e-06
1.25977e+08,N1,98,3.16228e-06
316.276,N0,99,3.16228e-06
1.27577e+08,N1,99,3.16228e-06
316.275,N0,100,3.16228e-06
1.29177e+08,N1,100,3.16228e-06
316.275,N0,101,3.16228e-06
1.30777e+08,N1,101,3.16228e-06
316.274,N0,102,3.16228e-06
1.32377e+08,N1,102,3.16228e-06
316.273,N0,103,3.16228e-06
1.33977e+08,N1,103,3.16228e-06
316.273,N0,104,3.16228e-06
1.35577e+08,N1,104,3.16228e-06
316.272,N0,105,3.16228e-06
1.37177e+08,N1,105,3.16228e-06
316.272,N0,106,3.16228e-06
1.38777e+08,N1,106,3.16228e-06
316.271,N0,107,3.16228e-06
1.40377e+08,N1,107,3.16228e-06
316.271,N0,108,3.16228e-06
1.41977e+08,N1,108,3.16228e-06
316.27,N0,109,3.16228e-06
1.43577e+08,N1,109,3.16228e-06
316.27,N0,110,3.16228e-06
1.45177e+08,N1,110,3.16228e-06
316.269,N0,111,3.16228e-06
1.46777e+08,N1,111,3.16228e-06
316.269,N0,112,3.16228e-06
1.48377e+08,N1,112,3.16228e-06
316.269,N0,113,3.16228e-06
1.49977e+08,N1,113,3.16228e-06
316.268,N0,114,3.16228e-06
1.51577e+08,N1,114,3.16228e-06
316.268,N0,115,3.16228e-06
1.53177e+08,N1,115,3.16228e-06
316.267,N0,116,3.16228e-06
1.54777e+08,N1,116,3.16228e-06
316.267,N0,117,3.16228e-06
1.56377e+08,N1,117,3.16228e-06
316.266,N0,118,3.16228e-06
1.57977e+08,N1,118,3.16228e-06
316.266,N0,119,3.16228e-06
1.59577e+08,N1,119,3.16228e-06
316.266,N0,120,3.16228e-06
1.61177e+08,N1,120,3.16228e-06
316.265,N0,121,3.16228e-06
1.62777e+08,N1,121,3.16228e-06
316.265,N0,122,3.16228e-06
1.64377e+08,N1,122,3.16228e-06
316.265,N0,123,3.16228e-06
1.65977e+08,N1,123,3.16228e-06
316.264,N0,124,3.16228e-06
1.67577e+08,N1,124,3.16228e-06
316.264,N0,125,3.16228e-06
1.69177e+08,N1,125,3.16228e-06
316.264,N0,126,3.16228e-06
1.70777e+08,N1,126,3.16228e-06
316.263,N0,127,3.16228e-06
1.72377e+08,N1,127,3.16228e-06
316.263,N0,128,3.16228e-06
1.73977e+08,N1,128,3.16228e-06
316.263,N0,129,3.16228e-06
1.75577e+08,N1,129,3.16228e-06
316.262,N0,130,3.16228e-06
1.77177e+08,N1,130,3.16228e-06
316.262,N0,131,3.16228e-06
1.78777e+08,N1,131,3.16228e-06
316.262,N0,132,3.16228e-06
1.80377e+08,N1,132,3.16228e-06
316.261,N0,133,3.16228e-06
1.81977e+08,N1,133,3.16228e-06
316.261,N0,134,3.16228e-06
1.83577e+08,N1,134,3.16228e-06
316.261,N0,135,3.16228e-06
1.85177e+08,N1,135,3.16228e-06
316.26,N0,136,3.16228e-06
1.86777e+08,N1,136,3.16228e-06
316.26,N0,137,3.16228e-06
1.88377e+08,N1,137,3.16228e-06
316.26,N0,138,3.16228e-06
1.89977e+08,N1,138,3.16228e-06
316.26,N0,139,3.16228e-06
1.91577e+08,N1,139,3.16228e-06
316.259,N0,140,3.16228e-06
1.93177e+08,N1,140,3.16228e-06
316.259,N0,141,3.16228e-06
1.94777e+08,N1,141,3.16228e-06
316.259,N0,142,3.16228e-06
1.96377e+08,N1,142,3.16228e-06
316.259,N0,143,3.16228e-06
1.97977e+08,N1,143,3.16228e-06
316.258,N0,144,3.16228e-06
1.99577e+08,N1,144,3.16228e-06
316.258,N0,145,3.16228e-06
2.01177e+08,N1,145,3.16228e-06
316.258,N0,146,3.16228e-06
2.02777e+08,N1,146,3.16228e-06
316.258,N0,147,3.16228e-06
2.04377e+08,N1,147,3.16228e-06
316.257,N0,148,3.16228e-06
2.05977e+08,N1,148,3.16228e-06
316.257,N0,149,3.16228e-06
2.07577e+08,N1,149,3.16228e-06
316.257,N0,150,3.16228e-06
2.09177e+08,N1,150,3.16228e-06
4.00421e-05,N0,10,1e-06
1.52561e-15,N1,10,1e-06
0.000147457,N0,11,1e-06
1.18487e-28,N1,11,1e-06
33.7489,N0,12,1e-06
1.05896e-23,N1,12,1e-06
1108.92,N0,13,1e-06
104863,N1,13,1e-06
5704.51,N0,14,1e-06
10799.2,N1,14,1e-06
10487.3,N0,15,1e-06
64049.3,N1,15,1e-06
10342.4,N0,16,1e-06
31950.4,N1,16,1e-06
9030.14,N0,17,1e-06
55824.1,N1,17,1e-06
7363.42,N0,18,1e-06
58601.9,N1,18,1e-06
1587.26,N0,19,1e-06
157763,N1,19,1e-06
1055.29,N0,20,1e-06
1.16697e+06,N1,20,1e-06
1022.51,N0,21,1e-06
2.77617e+06,N1,21,1e-06
1014.15,N0,22,1e-06
4.38011e+06,N1,22,1e-06
1010.32,N0,23,1e-06
5.97922e+06,N1,23,1e-06
1008.13,N0,24,1e-06
7.57852e+06,N1,24,1e-06
1006.7,N0,25,1e-06
9.17806e+06,N1,25,1e-06
1005.7,N0,26,1e-06
1.07777e+07,N1,26,1e-06
1004.96,N0,27,1e-06
1.23775e+07,N1,27,1e-06
1004.39,N0,28,1e-06
1.39773e+07,N1,28,1e-06
1003.94,N0,29,1e-06
1.55772e+07,N1,29,1e-06
1003.57,N0,30,1e-06
1.7177e+07,N1,30,1e-06
1003.27,N0,31,1e-06
1.87769e+07,N1,31,1e-06
1003.01,N0,32,1e-06
2.03769e+07,N1,32,1e-06
1002.79,N0,33,1e-06
2.19768e+07,N1,33,1e-06
1002.6,N0,34,1e-06
2.35767e+07,N1,34,1e-06
1002.43,N0,35,1e-06
2.51767e+07,N1,35,1e-06
1002.29,N0,36,1e-06
2.67766e+07,N1,36,1e-06
1002.16,N0,37,1e-06
2.83766e+07,N1,37,1e-06
1002.04,N0,38,1e-06
2.99765e+07,N1,38,1e-06
1001.94,N0,39,1e-06
3.15765e+07,N1,39,1e-06
1001.85,N0,40,1e-06
3.31765e+07,N1,40,1e-06
1001.76,N0,41,1e-06
3.47765e+07,N1,41,1e-06
1001.68,N0,42,1e-06
3.63764e+07,N1,42,1e-06
1001.61,N0,43,1e-06
3.79764e+07,N1,43,1e-06
1001.55,N0,44,1e-06
3.95764e+07,N1,44,1e-06
1001.49,N0,45,1e-06
4.11764e+07,N1,45,1e-06
1001.43,N0,46,1e-06
4.27763e+07,N1,46,1e-06
1001.38,N0,47,1e-06
4.43763e+07,N1,47,1e-06
1001.33,N0,48,1e-06
4.59763e+07,N1,48,1e-06
1001.29,N0,49,1e-06
4.75763e+07,N1,49,1e-06
1001.24,N0,50,1e-06
4.91763e+07,N1,50,1e-06
1001.2,N0,51,1e-06
5.07763e+07,N1,51,1e-06
1001.17,N0,52,1e-06
5.23763e+07,N1,52,1e-06
1001.13,N0,53,1e-06
5.39763e+07,N1,53,1e-06
1001.1,N0,54,1e-06
5.55762e+07,N1,54,1e-06
1001.07,N0,55,1e-06
5.71762e+07,N1,55,1e-06
1001.04,N0,56,1e-06
5.87762e+07,N1,56,1e-06
1001.01,N0,57,1e-06
6.03762e+07,N1,57,1e-06
1000.99,N0,58,1e-06
6.19762e+07,N1,58,1e-06
1000.96,N0,59,1e-06
6.35762e+07,N1,59,1e-06
1000.94,N0,60,1e-06
6.51762e+07,N1,60,1e-06
1000.92,N0,61,1e-06
6.67762e+07,N1,61,1e-06
1000.89,N0,62,1e-06
6.83762e+07,N1,62,1e-06
1000.87,N0,63,1e-06
6.99762e+07,N1,63,1e-06
1000.85,N0,64,1e-06
7.15762e+07,N1,64,1e-06
1000.84,N0,65,1e-06
7.31762e+07,N1,65,1e-06
1000.82,N0,66,1e-06
7.47761e+07,N1,66,1e-06
1000.8,N0,67,1e-06
7.63761e+07,N1,67,1e-06
1000.78,N0,68,1e-06
7.79761e+07,N1,68,1e-06
1000.77,N0,69,1e-06
7.95761e+07,N1,69,1e-06
1000.75,N0,70,1e-06
8.11761e+07,N1,70,1e-06
1000.74,N0,71,1e-06
8.27761e+07,N1,71,1e-06
1000.72,N0,72,1e-06
8.43761e+07,N1,72,1e-06
1000.71,N0,73,1e-06
8.59761e+07,N1,73,1e-06
1000.7,N0,74,1e-06
8.75761e+07,N1,74,1e-06
1000.69,N0,75,1e-06
8.91761e+07,N1,75,1e-06
1000.67,N0,76,1e-06
9.07761e+07,N1,76,1e-06
1000.66,N0,77,1e-06
9.23761e+07,N1,77,1e-06
1000.65,N0,78,1e-06
9.39761e+07,N1,78,1e-06
1000.64,N0,79,1e-06
9.55761e+07,N1,79,1e-06
1000.63,N0,80,1e-06
9.71761e+07,N1,80,1e-06
1000.62,N0,81,1e-06
9.87761e+07,N1,81,1e-06
1000.61,N0,82,1e-06
1.00376e+08,N1,82,1e-06
1000.6,N0,83,1e-06
1.01976e+08,N1,83,1e-06
1000.59,N0,84,1e-06
1.03576e+08,N1,84,1e-06
1000.58,N0,85,1e-06
1.05176e+08,N1,85,1e-06
1000.57,N0,86,1e-06
1.06776e+08,N1,86,1e-06
1000.56,N0,87,1e-06
1.08376e+08,N1,87,1e-06
1000.56,N0,88,1e-06
1.09976e+08,N1,88,1e-06
1000.55,N0,89,1e-06
1.11576e+08,N1,89,1e-06
1000.54,N0,90,1e-06
1.13176e+08,N1,90,1e-06
1000.53,N0,91,1e-06
1.14776e+08,N1,91,1e-06
1000.53,N0,92,1e-06
1.16376e+08,N1,92,1e-06
1000.52,N0,93,1e-06
1.17976e+08,N1,93,1e-06
1000.51,N0,94,1e-06
1.19576e+08,N1,94,1e-06
1000.5,N0,95,1e-06
1.21176e+08,N1,95,1e-06
1000.5,N0,96,1e-06
1.22776e+08,N1,96,1e-06
1000.49,N0,97,1e-06
1.24376e+08,N1,97,1e-06
1000.49,N0,98,1e-06
1.25976e+08,N1,98,1e-06
1000.48,N0,99,1e-06
1.27576e+08,N1,99,1e-06
1000.47,N0,100,1e-06
1.29176e+08,N1,100,1e-06
1000.47,N0,101,1e-06
1.30776e+08,N1,101,1e-06
1000.46,N0,102,1e-06
1.32376e+08,N1,102,1e-06
1000.46,N0,103,1e-06
1.33976e+08,N1,103,1e-06
1000.45,N0,104,1e-06
1.35576e+08,N1,104,1e-06
1000.45,N0,105,1e-06
1.37176e+08,N1,105,1e-06
1000.44,N0,106,1e-06
1.38776e+08,N1,106,1e-06
1000.44,N0,107,1e-06
1.40376e+08,N1,107,1e-06
1000.43,N0,108,1e-06
1.41976e+08,N1,108,1e-06
1000.43,N0,109,1e-06
1.43576e+08,N1,109,1e-06
1000.42,N0,110,1e-06
1.45176e+08,N1,110,1e-06
1000.42,N0,111,1e-06
1.46776e+08,N1,111,1e-06
1000.41,N0,112,1e-06
1.48376e+08,N1,112,1e-06
1000.41,N0,113,1e-06
1.49976e+08,N1,113,1e-06
1000.4,N0,114,1e-06
1.51576e+08,N1,114,1e-06
1000.4,N0,115,1e-06
1.53176e+08,N1,115,1e-06
1000.39,N0,116,1e-06
1.54776e+08,N1,116,1e-06
1000.39,N0,117,1e-06
1.56376e+08,N1,117,1e-06
1000.39,N0,118,1e-06
1.57976e+08,N1,118,1e-06
1000.38,N0,119,1e-06
1.59576e+08,N1,119,1e-06
1000.38,N0,120,1e-06
1.61176e+08,N1,120,1e-06
1000.38,N0,121,1e-06
1.62776e+08,N1,121,1e-06
1000.37,N0,122,1e-06
1.64376e+08,N1,122,1e-06
1000.37,N0,123,1e-06
1.65976e+08,N1,123,1e-06
1000.36,N0,124,1e-06
1.67576e+08,N1,124,1e-06
1000.36,N0,125,1e-06
1.69176e+08,N1,125,1e-06
1000.36,N0,126,1e-06
1.70776e+08,N1,126,1e-06
1000.35,N0,127,1e-06
1.72376e+08,N1,127,1e-06
1000.35,N0,128,1e-06
1.73976e+08,N1,128,1e-06
1000.35,N0,129,1e-06
1.75576e+08,N1,129,1e-06
1000.35,N0,130,1e-06
1.77176e+08,N1,130,1e-06
1000.34,N0,131,1e-06
1.78776e+08,N1,131,1e-06
1000.34,N0,132,1e-06
1.80376e+08,N1,132,1e-06
1000.34,N0,133,1e-06
1.81976e+08,N1,133,1e-06
1000.33,N0,134,1e-06
1.83576e+08,N1,134,1e-06
1000.33,N0,135,1e-06
1.85176e+08,N1,135,1e-06
